neighborhood_code,number_of_people_infected_t_0,min_age,max_age
5182718,0,25,65
5181041,0,25,65
5180701,0,25,65
5180772,0,25,65
5183960,0,25,65
5180475,0,25,65
5182812,0,25,65
5182813,0,25,65
5180476,0,25,65
5180271,0,25,65
5181840,0,25,65
5181481,0,25,65
5181795,0,25,65
5182055,0,25,65
5181786,0,25,65
5181697,0,25,65
5182811,0,25,65
5181309,0,25,65
5181591,0,25,65
5184211,0,25,65
5182814,0,25,65
5180800,0,25,65
5180170,0,25,65
5180703,0,25,65
5182664,0,25,65
5180907,0,25,65
5180908,0,25,65
5180704,0,25,65
5180702,0,25,65
5180477,0,25,65
5180374,0,25,65
5180373,0,25,65
5180605,0,25,65
5181142,0,25,65
5184208,0,25,65
5184215,0,25,65
5184212,0,25,65
5184213,0,25,65
5184214,0,25,65
5184110,0,25,65
5184418,0,25,65
5184420,0,25,65
5184421,0,25,65
5184419,0,25,65
5184317,0,25,65
5182449,0,25,65
5180478,0,25,65
5180448,0,25,65
5180479,0,25,65
5182665,0,25,65
5182666,0,25,65
5184316,0,25,65
5183826,0,25,65
5183825,0,25,65
5183819,0,25,65
5183822,0,25,65
5182568,0,25,65
5183824,0,25,65
5183823,0,25,65
5182567,0,25,65
5182561,0,25,65
5182569,0,25,65
5183620,0,25,65
5183639,0,25,65
5184001,0,25,65
5184106,0,25,65
5184005,0,25,65
5184004,0,25,65
5182347,0,25,65
5184003,0,25,65
5184002,0,25,65
5182762,0,25,65
5182763,0,25,65
5182917,0,25,65
5182916,0,25,65
5183398,0,25,65
5183721,0,25,65
5182915,0,25,65
5183638,0,25,65
5183536,0,25,65
5183135,0,25,65
5183034,0,25,65
5182110,0,25,65
5183032,0,25,65
5183033,0,25,65
5183131,0,25,65
5183284,0,25,65
5183130,0,25,65
5182144,0,25,65
5181143,0,25,65
5182245,0,25,65
5180546,0,25,65
5181251,0,25,65
5181252,0,25,65
5181590,0,25,65
5183399,0,25,65
5181492,0,25,65
5181953,0,25,65
5181983,0,25,65
5181250,0,25,65
5182054,0,25,65
5183637,0,25,65
5183488,0,25,65
5183489,0,25,65
5183480,0,25,65
5181893,0,25,65
5181894,0,25,65
5181882,0,25,65
5181806,0,25,65
5183387,0,25,65
5183396,0,25,65
5181785,0,25,65
5184107,0,25,65
5184209,0,25,65
